epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.2419,1.07254,3.16227,1.20489,0.03477,0.58701,0.40538,0.32774,0.91706,3.25693,1.05055,0.000234648,0.000234648,0.000234648
2,54.261,0.89051,1.38104,1.0851,0.8872,0.57147,0.62474,0.50886,0.87625,1.05131,1.03186,0.000463289,0.000463289,0.000463289
3,76.5582,0.80521,1.01377,1.04568,0.81161,0.65466,0.69804,0.57304,0.7019,0.78537,0.94333,0.000682506,0.000682506,0.000682506
4,100.442,0.75212,0.86879,1.0197,0.76698,0.78949,0.72671,0.59337,0.65637,0.63547,0.9271,0.000671588,0.000671588,0.000671588
5,123.105,0.71007,0.77077,0.98848,0.81106,0.72981,0.72428,0.60346,0.64238,0.57563,0.94212,0.000657451,0.000657451,0.000657451
6,145.578,0.68074,0.73244,0.97783,0.75495,0.77524,0.75204,0.62712,0.60552,0.5378,0.90022,0.000643314,0.000643314,0.000643314
7,168.446,0.6496,0.68825,0.97005,0.74819,0.77228,0.73234,0.61029,0.60262,0.5246,0.90251,0.000629177,0.000629177,0.000629177
8,191.46,0.64088,0.6599,0.96473,0.75206,0.7611,0.7473,0.63256,0.59141,0.48871,0.90462,0.00061504,0.00061504,0.00061504
9,213.41,0.62969,0.64173,0.95803,0.77666,0.72739,0.76916,0.65827,0.52943,0.46196,0.88008,0.000600902,0.000600902,0.000600902
10,238.325,0.61136,0.61569,0.94694,0.74904,0.79441,0.76171,0.64385,0.52867,0.4773,0.87997,0.000586765,0.000586765,0.000586765
11,261.817,0.60134,0.5963,0.94733,0.77362,0.75952,0.77182,0.64979,0.54589,0.47144,0.87832,0.000572628,0.000572628,0.000572628
12,283.765,0.60369,0.58706,0.94366,0.77185,0.79621,0.78008,0.66246,0.5243,0.45513,0.86832,0.000558491,0.000558491,0.000558491
13,307.143,0.5776,0.56144,0.92855,0.76496,0.80908,0.77483,0.65572,0.52507,0.48175,0.88093,0.000544354,0.000544354,0.000544354
14,330.548,0.57575,0.55589,0.93023,0.82011,0.83522,0.7789,0.65189,0.48416,0.41619,0.853,0.000530216,0.000530216,0.000530216
15,353.238,0.56994,0.54511,0.93434,0.76189,0.75816,0.78383,0.6598,0.48994,0.43726,0.85771,0.000516079,0.000516079,0.000516079
16,376.377,0.56328,0.53189,0.92788,0.77674,0.81872,0.78077,0.66586,0.47487,0.41741,0.85756,0.000501942,0.000501942,0.000501942
17,398.83,0.56573,0.52962,0.92218,0.79941,0.81796,0.79066,0.66711,0.48878,0.4194,0.86222,0.000487805,0.000487805,0.000487805
18,423.145,0.54886,0.51239,0.91707,0.7637,0.81443,0.79352,0.67984,0.49253,0.42525,0.85919,0.000473668,0.000473668,0.000473668
19,446.61,0.54876,0.51729,0.92513,0.74684,0.8654,0.78229,0.6685,0.46755,0.4061,0.85129,0.00045953,0.00045953,0.00045953
20,469.462,0.53816,0.49736,0.91733,0.80608,0.80154,0.7888,0.66978,0.45964,0.41427,0.85519,0.000445393,0.000445393,0.000445393
21,491.1,0.53469,0.49077,0.91858,0.75373,0.86412,0.8009,0.68009,0.46777,0.40387,0.84857,0.000431256,0.000431256,0.000431256
22,513.05,0.51811,0.47733,0.90555,0.76705,0.79506,0.7798,0.66433,0.47309,0.40719,0.8533,0.000417119,0.000417119,0.000417119
23,535.956,0.53412,0.48353,0.91311,0.81207,0.80465,0.7958,0.6692,0.48281,0.397,0.851,0.000402982,0.000402982,0.000402982
24,558.324,0.52712,0.47498,0.90999,0.78503,0.80758,0.78803,0.67421,0.44122,0.39697,0.84755,0.000388844,0.000388844,0.000388844
25,580.9,0.50991,0.46071,0.90528,0.80351,0.70805,0.78742,0.66793,0.47518,0.41059,0.8583,0.000374707,0.000374707,0.000374707
26,604.498,0.51828,0.46484,0.90682,0.82698,0.80782,0.7982,0.68688,0.46525,0.40832,0.84788,0.00036057,0.00036057,0.00036057
27,625.706,0.50662,0.45034,0.89933,0.75038,0.84796,0.7873,0.68301,0.43466,0.37649,0.83912,0.000346433,0.000346433,0.000346433
28,649.557,0.50451,0.45466,0.90524,0.80315,0.87984,0.79807,0.6747,0.44374,0.38508,0.8396,0.000332296,0.000332296,0.000332296
29,673.492,0.49174,0.43555,0.89372,0.81956,0.84168,0.79964,0.69632,0.44604,0.37659,0.83875,0.000318158,0.000318158,0.000318158
30,695.88,0.49888,0.43833,0.89486,0.83146,0.77457,0.79504,0.67477,0.44889,0.38834,0.84016,0.000304021,0.000304021,0.000304021
31,719.026,0.48676,0.42944,0.89719,0.79844,0.78789,0.80256,0.69888,0.42145,0.35902,0.83402,0.000289884,0.000289884,0.000289884
32,741.7,0.48159,0.42645,0.89198,0.82295,0.7822,0.78691,0.68211,0.43325,0.38118,0.84247,0.000275747,0.000275747,0.000275747
